,time,measurement,value
5196,1646169222.6146593,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197510719299316]"
5197,1646169222.6146593,control_command,"[0.0, 0.0]"
5198,1646169222.6346984,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197510719299316]"
5199,1646169222.6346984,control_command,"[0.0, 0.0]"
5200,1646169222.654729,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198755264282227]"
5201,1646169222.654729,control_command,"[0.0, 0.0]"
5202,1646169222.6746442,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020106077194214]"
5203,1646169222.6746442,control_command,"[0.0, 0.0]"
5204,1646169222.694586,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020106077194214]"
5205,1646169222.694586,control_command,"[0.0, 0.0]"
5206,1646169222.7145903,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.020106077194214]"
5207,1646169222.7145903,control_command,"[0.0, 0.0]"
5208,1646169222.734606,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019996166229248]"
5209,1646169222.734606,control_command,"[0.0, 0.0]"
5210,1646169222.754564,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019996166229248]"
5211,1646169222.754564,control_command,"[0.0, 0.0]"
5212,1646169222.7745273,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019996166229248]"
5213,1646169222.7745273,control_command,"[0.0, 0.0]"
5214,1646169222.794658,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019977569580078]"
5215,1646169222.794658,control_command,"[0.0, 0.0]"
5216,1646169222.8145113,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019725799560547]"
5217,1646169222.8145113,control_command,"[0.0, 0.0]"
5218,1646169222.8345482,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019725799560547]"
5219,1646169222.8345482,control_command,"[0.0, 0.0]"
5220,1646169222.8545885,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019855260848999]"
5221,1646169222.8545885,control_command,"[0.0, 0.0]"
5222,1646169222.8749795,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019855260848999]"
5223,1646169222.8749795,control_command,"[0.0, 0.0]"
5224,1646169222.8950267,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019855260848999]"
5225,1646169222.8950267,control_command,"[0.0, 0.0]"
5226,1646169222.9148967,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199899673461914]"
5227,1646169222.9148967,control_command,"[0.0, 0.0]"
5228,1646169222.9349115,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0199899673461914]"
5229,1646169222.9349115,control_command,"[0.0, 0.0]"
5230,1646169222.9549105,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199673175811768]"
5231,1646169222.9549105,control_command,"[0.0, 0.0]"
5232,1646169222.9748769,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019901752471924]"
5233,1646169222.9748769,control_command,"[0.0, 0.0]"
5234,1646169222.9948056,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019901752471924]"
5235,1646169222.9948056,control_command,"[0.0, 0.0]"
5236,1646169223.0147827,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019901752471924]"
5237,1646169223.0147827,control_command,"[0.0, 0.0]"
5238,1646169223.0348756,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019923686981201]"
5239,1646169223.0348756,control_command,"[0.0, 0.0]"
5240,1646169223.0548656,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197086334228516]"
5241,1646169223.0548656,control_command,"[0.0, 0.0]"
5242,1646169223.074793,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197086334228516]"
5243,1646169223.074793,control_command,"[0.0, 0.0]"
5244,1646169223.0947025,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0197086334228516]"
5245,1646169223.0947025,control_command,"[0.0, 0.0]"
5246,1646169223.1147256,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.0198569297790527]"
5247,1646169223.1147256,control_command,"[0.0, 0.0]"
5248,1646169223.1350732,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019988775253296]"
5249,1646169223.1350732,control_command,"[0.0, 0.0]"
5250,1646169223.1550624,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019988775253296]"
5251,1646169223.1550624,control_command,"[0.0, 0.0]"
5252,1646169223.174657,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019988775253296]"
5253,1646169223.174657,control_command,"[0.0, 0.0]"
5254,1646169223.1946404,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200014114379883]"
5255,1646169223.1946404,control_command,"[0.0, 0.0]"
5256,1646169223.2147875,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200014114379883]"
5257,1646169223.2147875,control_command,"[0.0, 0.0]"
5258,1646169223.2347028,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0198402404785156]"
5259,1646169223.2347028,control_command,"[0.0, 0.0]"
5260,1646169223.2547233,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0198402404785156]"
5261,1646169223.2547233,control_command,"[0.0, 0.0]"
5262,1646169223.274671,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019943952560425]"
5263,1646169223.274671,control_command,"[0.0, 0.0]"
5264,1646169223.294548,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019911289215088]"
5265,1646169223.294548,control_command,"[0.0, 0.0]"
5266,1646169223.3145103,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019911289215088]"
5267,1646169223.3145103,control_command,"[0.0, 0.0]"
5268,1646169223.3333952,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.019911289215088]"
5269,1646169223.3333952,control_command,"[0.0, 0.0]"
5270,1646169223.3534026,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019895076751709]"
5271,1646169223.3534026,control_command,"[0.0, 0.0]"
5272,1646169223.373394,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019895076751709]"
5273,1646169223.373394,control_command,"[0.0, 0.0]"
5274,1646169223.393439,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.019895076751709]"
5275,1646169223.393439,control_command,"[0.0, 0.0]"
5276,1646169223.4134018,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199708938598633]"
5277,1646169223.4134018,control_command,"[0.0, 0.0]"
5278,1646169223.4334126,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0199708938598633]"
5279,1646169223.4334126,control_command,"[0.0, 0.0]"
5280,1646169223.4534268,state_est_mean,"[0.1634126752614975, -2.737316846847534, 2.01993465423584]"
5281,1646169223.4534268,control_command,"[0.0, 0.0]"
5282,1646169223.473266,state_est_mean,"[0.16342368721961975, -2.737339735031128, 2.0200581550598145]"
5283,1646169223.473266,control_command,"[0.0, 0.0]"
