gevd_dim_0,gevd
486,0.1980074942111969
487,0.172286257147789
488,0.17823055386543274
489,0.18265178799629211
490,0.16917634010314941
491,0.16772538423538208
492,0.1966247856616974
493,0.1841427981853485
494,0.17967334389686584
495,0.18027664721012115
496,0.18326106667518616
497,0.18532602488994598
498,0.17141622304916382
499,0.16866029798984528
500,0.16472749412059784
501,0.18205995857715607
502,0.16739584505558014
503,0.17691877484321594
504,0.16245512664318085
505,0.17839859426021576
506,0.17239855229854584
507,0.17929545044898987
508,0.17329321801662445
509,0.17538286745548248
510,0.18937870860099792
511,0.1749574989080429
512,0.1823810338973999
513,0.1896820068359375
514,0.16999489068984985
515,0.1772039234638214
516,0.195774108171463
517,0.17090539634227753
518,0.1737191379070282
519,0.16148386895656586
520,0.17517903447151184
521,0.17726141214370728
522,0.1817716658115387
523,0.17257986962795258
524,0.18064263463020325
525,0.1926276683807373
526,0.17140433192253113
527,0.17158158123493195
528,0.17315490543842316
529,0.1812090426683426
530,0.1685647815465927
531,0.1990518867969513
532,0.173472598195076
533,0.17892944812774658
534,0.18858610093593597
535,0.1793001890182495
536,0.17834709584712982
537,0.18249329924583435
538,0.17751966416835785
539,0.19336053729057312
540,0.18670375645160675
541,0.18658503890037537
542,0.17853505909442902
543,0.18283168971538544
544,0.18018241226673126
545,0.1934155821800232
546,0.1827056109905243
547,0.18182699382305145
548,0.20362669229507446
549,0.1628023087978363
550,0.17248278856277466
551,0.17366746068000793
552,0.205396831035614
553,0.19412583112716675
554,0.1850951462984085
555,0.22173257172107697
556,0.17068921029567719
557,0.19247984886169434
558,0.1680905669927597
559,0.17213022708892822
560,0.17978891730308533
561,0.19147008657455444
562,0.1828414797782898
563,0.17594598233699799
564,0.1752602756023407
565,0.1749463528394699
566,0.19578897953033447
567,0.17451396584510803
568,0.17504799365997314
569,0.2010612189769745
570,0.22489497065544128
571,0.17956873774528503
572,0.1836574226617813
573,0.1737215220928192
574,0.18645977973937988
575,0.16367951035499573
576,0.17343111336231232
577,0.16910147666931152
578,0.17701898515224457
579,0.16863608360290527
580,0.17680299282073975
581,0.18221515417099
582,0.16132552921772003
583,0.17178748548030853
584,0.1648481786251068
585,0.17725437879562378
586,0.18525898456573486
587,0.16906434297561646
588,0.18625198304653168
589,0.17980267107486725
590,0.182601660490036
591,0.1753523349761963
592,0.16406825184822083
593,0.18774741888046265
594,0.1808413416147232
595,0.17542144656181335
596,0.16221502423286438
597,0.16268141567707062
598,0.19110345840454102
599,0.18146105110645294
600,0.17339451611042023
601,0.17100857198238373
602,0.20283232629299164
603,0.16594508290290833
604,0.1741095632314682
605,0.18417714536190033
606,0.1720011979341507
607,0.16926369071006775
608,0.16751565039157867
609,0.17310427129268646
610,0.19541314244270325
611,0.16737885773181915
612,0.17009283602237701
613,0.1742233783006668
614,0.1840728223323822
615,0.18158173561096191
616,0.17469750344753265
617,0.1644701212644577
618,0.17837902903556824
619,0.17145425081253052
620,0.17833827435970306
621,0.16777604818344116
622,0.1825358271598816
623,0.16958580911159515
624,0.17799487709999084
625,0.18467947840690613
626,0.16714604198932648
627,0.17388856410980225
628,0.1732456386089325
629,0.18586339056491852
630,0.1685483306646347
631,0.1828026920557022
632,0.18020124733448029
633,0.1737188994884491
634,0.17970798909664154
635,0.17167124152183533
636,0.177585169672966
637,0.18810802698135376
638,0.1801455318927765
639,0.17358706891536713
640,0.16751728951931
641,0.1848984956741333
642,0.1633003056049347
643,0.18704092502593994
644,0.17145684361457825
645,0.17798711359500885
646,0.20050367712974548
647,0.1833166629076004
648,0.17773817479610443
649,0.17567044496536255
650,0.19687819480895996
651,0.18419978022575378
652,0.17861685156822205
653,0.17579373717308044
654,0.1966206580400467
655,0.17654557526111603
656,0.1793636679649353
657,0.1842753142118454
658,0.17674578726291656
659,0.17939387261867523
660,0.1815977692604065
661,0.18466690182685852
662,0.17162922024726868
663,0.17203763127326965
664,0.18192698061466217
665,0.1708129346370697
666,0.1684398502111435
667,0.19945469498634338
668,0.1765664666891098
669,0.17300797998905182
670,0.18427647650241852
671,0.1767493486404419
672,0.2037789523601532
673,0.1840737760066986
674,0.18027345836162567
675,0.16578538715839386
676,0.1896969974040985
677,0.17600838840007782
678,0.1782812476158142
679,0.17134061455726624
680,0.16711455583572388
681,0.1939595341682434
682,0.17973588407039642
683,0.18382103741168976
684,0.18405185639858246
685,0.16395844519138336
686,0.18203361332416534
687,0.170964315533638
688,0.1796376258134842
689,0.1732417196035385
690,0.17178411781787872
691,0.18639186024665833
692,0.1734706610441208
693,0.16532589495182037
694,0.17336758971214294
695,0.16828390955924988
696,0.1712874323129654
697,0.17006592452526093
698,0.19397352635860443
699,0.18492108583450317
700,0.16288429498672485
701,0.1700977385044098
702,0.19884659349918365
703,0.17342881858348846
704,0.16591063141822815
705,0.18125592172145844
706,0.18386995792388916
707,0.20535022020339966
708,0.1827024221420288
709,0.17625507712364197
710,0.17174239456653595
711,0.21806056797504425
712,0.17000029981136322
713,0.1841612160205841
714,0.1791868954896927
715,0.17866897583007812
716,0.19506357610225677
717,0.16822797060012817
