,time,measurement,value
41,1641920644.8470173,state_est_cov,"[[2.3779044568073004e-05, 2.707693784032017e-05, 2.3805007003829814e-05], [2.707693784032017e-05, 4.772933607455343e-05, 4.225566954119131e-05], [2.3805007003829814e-05, 4.22556659032125e-05, 0.0017321205232292414]]"
42,1641920644.8470173,control_command,"[0.09302041679620743, -0.08185446262359619]"
43,1641920644.8470173,V,9.661221504211426
44,1641920644.9469957,state_est_mean,"[-2.1138484477996826, 0.49047237634658813, -0.2075558751821518]"
45,1641920644.9469957,state_est_cov,"[[2.375262920395471e-05, 2.6723737391876057e-05, 2.6029338187072426e-05], [2.6723735572886653e-05, 4.698501288658008e-05, 4.56872621725779e-05], [2.602933454909362e-05, 4.5687258534599096e-05, 0.0017882268875837326]]"
46,1641920644.9469957,control_command,"[0.0929596796631813, -0.12280269712209702]"
47,1641920644.9469957,V,9.571847915649414
48,1641920645.0457056,state_est_mean,"[-2.1050353050231934, 0.4831496775150299, -0.22906886041164398]"
49,1641920645.0457056,state_est_cov,"[[2.3813148800400086e-05, 2.6477224309928715e-05, 2.8111586289014667e-05], [2.6477224309928715e-05, 4.6409080823650584e-05, 4.883729707216844e-05], [2.8111586289014667e-05, 4.883729343418963e-05, 0.0018408304313197732]]"
50,1641920645.0457056,control_command,"[0.0930580124258995, -0.03885224089026451]"
51,1641920645.0457056,V,9.488271713256836
52,1641920645.147338,state_est_mean,"[-2.098214626312256, 0.48293447494506836, -0.23368102312088013]"
53,1641920645.147338,state_est_cov,"[[2.38845641433727e-05, 2.6371953936177306e-05, 3.0261277061072178e-05], [2.637195575516671e-05, 4.6334964281413704e-05, 5.2173956646583974e-05], [3.0261278880061582e-05, 5.217396028456278e-05, 0.0018906289478763938]]"
54,1641920645.147338,control_command,"[0.09306187182664871, -0.0312403105199337]"
55,1641920645.147338,V,9.43470573425293
56,1641920645.2471685,state_est_mean,"[-2.091413736343384, 0.4815622568130493, -0.22526030242443085]"
57,1641920645.2471685,state_est_cov,"[[2.398707511019893e-05, 2.63490710494807e-05, 3.227695924579166e-05], [2.63490710494807e-05, 4.6280023525469005e-05, 5.5225747928489e-05], [3.227695924579166e-05, 5.522574429051019e-05, 0.0019371549133211374]]"
58,1641920645.2471685,control_command,"[0.0930463969707489, -0.05579664930701256]"
59,1641920645.2471685,V,9.37939739227295
60,1641920645.347108,state_est_mean,"[-2.082667827606201, 0.47816842794418335, -0.21827249228954315]"
61,1641920645.347108,state_est_cov,"[[2.411342393315863e-05, 2.6369008992332965e-05, 3.406076939427294e-05], [2.6369008992332965e-05, 4.629780232789926e-05, 5.806500848848373e-05], [3.406076939427294e-05, 5.806500848848373e-05, 0.001980498433113098]]"
62,1641920645.347108,control_command,"[0.0930265262722969, -0.07653249800205231]"
63,1641920645.347108,V,9.305655479431152
64,1641920645.4472978,state_est_mean,"[-2.0727591514587402, 0.4769503176212311, -0.22113248705863953]"
65,1641920645.4472978,state_est_cov,"[[2.4285642211907543e-05, 2.6431198421050794e-05, 3.5690023651113734e-05], [2.643119660206139e-05, 4.6430519432760775e-05, 6.075978672015481e-05], [3.5690023651113734e-05, 6.0759783082176e-05, 0.0020208675414323807]]"
66,1641920645.4472978,control_command,"[0.09302754700183868, -0.07559670507907867]"
67,1641920645.4472978,V,9.227980613708496
68,1641920645.5470188,state_est_mean,"[-2.0608019828796387, 0.4780999422073364, -0.2184041142463684]"
69,1641920645.5470188,state_est_cov,"[[2.4506860427209176e-05, 2.6520643586991355e-05, 3.7256952055031434e-05], [2.6520643586991355e-05, 4.6546378143830225e-05, 6.318400846794248e-05], [3.7256952055031434e-05, 6.318400846794248e-05, 0.0020583108998835087]]"
70,1641920645.5470188,control_command,"[0.09300607442855835, -0.09316018223762512]"
71,1641920645.5470188,V,9.140460968017578
72,1641920645.6453137,state_est_mean,"[-2.0525801181793213, 0.47468143701553345, -0.2332325577735901]"
73,1641920645.6453137,state_est_cov,"[[2.4777797079877928e-05, 2.6604471713653766e-05, 3.8671543734380975e-05], [2.6604471713653766e-05, 4.655369048123248e-05, 6.524236960103735e-05], [3.867154009640217e-05, 6.524236232507974e-05, 0.0020928068552166224]]"
74,1641920645.6453137,control_command,"[0.09304291009902954, -0.05996298789978027]"
75,1641920645.6453137,V,9.072867393493652
76,1641920645.7474153,state_est_mean,"[-2.0453484058380127, 0.47169485688209534, -0.23978669941425323]"
77,1641920645.7474153,state_est_cov,"[[2.5009832825162448e-05, 2.671194488357287e-05, 4.012265708297491e-05], [2.6711946702562273e-05, 4.6710447350051254e-05, 6.732635665684938e-05], [4.0122653444996104e-05, 6.732634938089177e-05, 0.0021251447033137083]]"
78,1641920645.7474153,control_command,"[0.09305241703987122, -0.04776329547166824]"
79,1641920645.7474153,V,9.013995170593262
80,1641920645.8471127,state_est_mean,"[-2.0349910259246826, 0.4717080891132355, -0.24552614986896515]"
81,1641920645.8471127,state_est_cov,"[[2.5225974241038784e-05, 2.6840420105145313e-05, 4.150193490204401e-05], [2.6840420105145313e-05, 4.6932043915148824e-05, 6.935397686902434e-05], [4.1501931264065206e-05, 6.935396231710911e-05, 0.0021553027909249067]]"
82,1641920645.8471127,control_command,"[0.09305498749017715, -0.04388995096087456]"
83,1641920645.8471127,V,8.938885688781738
84,1641920645.9469945,state_est_mean,"[-2.029325485229492, 0.4676978886127472, -0.24036861956119537]"
85,1641920645.9469945,state_est_cov,"[[2.549109012761619e-05, 2.6961582989315502e-05, 4.279186396161094e-05], [2.6961582989315502e-05, 4.7053028538357466e-05, 7.110102887963876e-05], [4.279186759958975e-05, 7.110102160368115e-05, 0.0021830887999385595]]"
86,1641920645.9469945,control_command,"[0.09304268658161163, -0.06021260470151901]"
87,1641920645.9469945,V,8.890498161315918
88,1641920646.046998,state_est_mean,"[-2.022559642791748, 0.4658677875995636, -0.24666565656661987]"
89,1641920646.046998,state_est_cov,"[[2.569498428783845e-05, 2.7096517442259938e-05, 4.391830225358717e-05], [2.7096517442259938e-05, 4.7303721657954156e-05, 7.289973291335627e-05], [4.391830225358717e-05, 7.289972563739866e-05, 0.002209000987932086]]"
90,1641920646.046998,control_command,"[0.09305010735988617, -0.050994064658880234]"
91,1641920646.046998,V,8.838891983032227
92,1641920646.1469848,state_est_mean,"[-2.015674591064453, 0.4650845229625702, -0.2595006823539734]"
93,1641920646.1469848,state_est_cov,"[[2.5907846065820195e-05, 2.7235817469772883e-05, 4.5026132283965126e-05], [2.7235813831794076e-05, 4.753209577756934e-05, 7.45358265703544e-05], [4.5026132283965126e-05, 7.453583384631202e-05, 0.0022329476196318865]]"
94,1641920646.1469848,control_command,"[0.09306374192237854, -0.026792604476213455]"
95,1641920646.1469848,V,8.788989067077637
96,1641920646.2470205,state_est_mean,"[-2.0063862800598145, 0.4711267948150635, -0.2418748438358307]"
97,1641920646.2470205,state_est_cov,"[[2.6128589524887502e-05, 2.7369160306989215e-05, 4.6141747588990256e-05], [2.7369156669010408e-05, 4.7708777856314555e-05, 7.599298987770453e-05], [4.614175122696906e-05, 7.599299715366215e-05, 0.002255088882520795]]"
98,1641920646.2470205,control_command,"[0.09301213920116425, -0.0885562002658844]"
99,1641920646.2470205,V,8.736366271972656
100,1641920646.3470109,state_est_mean,"[-1.9987791776657104, 0.46758902072906494, -0.26333296298980713]"
101,1641920646.3470109,state_est_cov,"[[2.6371357307652943e-05, 2.742704782576766e-05, 4.688067565439269e-05], [2.742704418778885e-05, 4.755090776598081e-05, 7.683772128075361e-05], [4.6880682930350304e-05, 7.683772855671123e-05, 0.002274620346724987]]"
102,1641920646.3470109,control_command,"[0.09305517375469208, -0.04360538348555565]"
103,1641920646.3470109,V,8.677570343017578
104,1641920646.446838,state_est_mean,"[-1.9931215047836304, 0.46926191449165344, -0.2721083462238312]"
105,1641920646.446838,state_est_cov,"[[2.6585168598103337e-05, 2.7493135348777287e-05, 4.779511800734326e-05], [2.749313171079848e-05, 4.76120003440883e-05, 7.791668031131849e-05], [4.779512164532207e-05, 7.79166875872761e-05, 0.0022932596039026976]]"
106,1641920646.446838,control_command,"[0.09306163340806961, -0.03177556023001671]"
107,1641920646.446838,V,8.642745971679688
108,1641920646.5481954,state_est_mean,"[-1.9877883195877075, 0.46425044536590576, -0.2834695279598236]"
109,1641920646.5481954,state_est_cov,"[[2.676462463568896e-05, 2.7547635909286328e-05, 4.86478311358951e-05], [2.754763772827573e-05, 4.758095383294858e-05, 7.879685290390626e-05], [4.864783477387391e-05, 7.879685290390626e-05, 0.002310351934283972]]"
110,1641920646.5481954,control_command,"[0.09306825697422028, -0.009714062325656414]"
111,1641920646.5481954,V,8.597431182861328
112,1641920646.647765,state_est_mean,"[-1.9817354679107666, 0.4587969183921814, -0.292753666639328]"
113,1641920646.647765,state_est_cov,"[[2.692697489692364e-05, 2.7631031116470695e-05, 4.953000825480558e-05], [2.7631032935460098e-05, 4.7770332457730547e-05, 7.996329077286646e-05], [4.953000825480558e-05, 7.996328349690884e-05, 0.002326754154637456]]"
114,1641920646.647765,control_command,"[0.09306877851486206, 0.0049050189554691315]"
115,1641920646.647765,V,8.546936988830566
116,1641920646.7474263,state_est_mean,"[-1.9782849550247192, 0.45792528986930847, -0.29298636317253113]"
117,1641920646.7474263,state_est_cov,"[[2.7109274014947005e-05, 2.7756714189308695e-05, 5.044640420237556e-05], [2.7756712370319292e-05, 4.8092340875882655e-05, 8.128753688652068e-05], [5.0446400564396754e-05, 8.128753688652068e-05, 0.0023423349484801292]]"
118,1641920646.7474263,control_command,"[0.0930689349770546, -0.001366912154480815]"
119,1641920646.7474263,V,8.5227632522583
120,1641920646.8475206,state_est_mean,"[-1.965131163597107, 0.45796462893486023, -0.29300370812416077]"
121,1641920646.8475206,state_est_cov,"[[2.726827733567916e-05, 2.7888834665645845e-05, 5.125064490130171e-05], [2.7888834665645845e-05, 4.832668855669908e-05, 8.242527837865055e-05], [5.125064490130171e-05, 8.242528565460816e-05, 0.0023565313313156366]]"
122,1641920646.8475206,control_command,"[0.09306111186742783, -0.032885368913412094]"
123,1641920646.8475206,V,8.438957214355469
124,1641920646.9477992,state_est_mean,"[-1.9510252475738525, 0.4591861665248871, -0.2862842381000519]"
125,1641920646.9477992,state_est_cov,"[[2.756300636974629e-05, 2.79847408819478e-05, 5.1979390264023095e-05], [2.7984742700937204e-05, 4.8409609007649124e-05, 8.32546575111337e-05], [5.19793939020019e-05, 8.32546575111337e-05, 0.002369249239563942]]"
126,1641920646.9477992,control_command,"[0.0930076614022255, -0.09197954833507538]"
127,1641920646.9477992,V,8.35486888885498
128,1641920647.04837,state_est_mean,"[-1.9480948448181152, 0.4563335180282593, -0.29981815814971924]"
