,time,measurement,value
80,1642193007.9758809,state_est_mean,"[-1.8220958709716797, 0.33818140625953674, -2.3001792430877686]"
81,1642193007.9758809,state_est_cov,"[[0.0002731068234425038, 0.00102838478051126, 9.54791612457484e-05], [0.00102838478051126, 0.005228096153587103, -7.967861165525392e-05], [9.547904483042657e-05, -7.96790118329227e-05, 0.013548183254897594]]"
82,1642193007.9758809,control_command,"[0.06856494396924973, 0.3639659583568573]"
83,1642193007.9758809,V,7.6088032722473145
84,1642193008.47589,state_est_mean,"[-1.8505104780197144, 0.30251196026802063, -2.070896863937378]"
85,1642193008.47589,state_est_cov,"[[0.0002439110103296116, 0.0009813684737309813, 2.6896763301920146e-05], [0.0009813684737309813, 0.005461950786411762, -0.0003485291381366551], [2.6896710551227443e-05, -0.0003485294582787901, 0.013342313468456268]]"
86,1642193008.47589,control_command,"[0.011997101828455925, 0.496388703584671]"
87,1642193008.47589,V,7.573155879974365
88,1642193008.9717865,state_est_mean,"[-1.859776496887207, 0.29598724842071533, -1.8674182891845703]"
89,1642193008.9717865,state_est_cov,"[[0.0002294535079272464, 0.0009671879815869033, -2.7303814931656234e-05], [0.0009671879815869033, 0.0056956978514790535, -0.00032945506973192096], [-2.7303840397507884e-05, -0.00032945541897788644, 0.013625772669911385]]"
90,1642193008.9717865,control_command,"[0.022318793460726738, 0.48738768696784973]"
91,1642193008.9717865,V,7.591468811035156
92,1642193009.475938,state_est_mean,"[-1.8692708015441895, 0.2874090373516083, -1.7215019464492798]"
93,1642193009.475938,state_est_cov,"[[0.00021913641830906272, 0.0009600092889741063, -1.9080522179137915e-05], [0.0009600093471817672, 0.005932505242526531, -0.0003065085329581052], [-1.9080582205788232e-05, -0.00030650885310024023, 0.013826900161802769]]"
94,1642193009.475938,control_command,"[0.029220594093203545, 0.4781776964664459]"
95,1642193009.475938,V,7.612111568450928
96,1642193009.9752545,state_est_mean,"[-1.8786654472351074, 0.27971354126930237, -1.4593192338943481]"
97,1642193009.9752545,state_est_cov,"[[0.0002094138617394492, 0.0009517946746200323, -3.155301783408504e-06], [0.0009517946746200323, 0.006170989014208317, -0.0002699302858673036], [-3.1553297503705835e-06, -0.0002699305769056082, 0.013936974108219147]]"
98,1642193009.9752545,control_command,"[0.04833005368709564, 0.4377272427082062]"
99,1642193009.9752545,V,7.639492511749268
100,1642193010.475389,state_est_mean,"[-1.8734933137893677, 0.25625959038734436, -1.3301677703857422]"
101,1642193010.475389,state_est_cov,"[[0.00019720786076504737, 0.000929575995542109, 3.1546274840366095e-05], [0.0009295758791267872, 0.006408867426216602, -0.00018383249698672444], [3.154622027068399e-05, -0.00018383274436928332, 0.013887755572795868]]"
102,1642193010.475389,control_command,"[0.05901466682553291, 0.4036480188369751]"
103,1642193010.475389,V,7.567409038543701
104,1642193010.9758818,state_est_mean,"[-1.8783824443817139, 0.22827279567718506, -1.2157238721847534]"
105,1642193010.9758818,state_est_cov,"[[0.00017939602548722178, 0.0008731953566893935, 5.85897832934279e-05], [0.0008731952984817326, 0.006640413776040077, -9.904477337840945e-05], [5.858972872374579e-05, -9.904507896862924e-05, 0.013756790198385715]]"
106,1642193010.9758818,control_command,"[0.06393631547689438, 0.3844524323940277]"
107,1642193010.9758818,V,7.5377516746521
108,1642193011.476056,state_est_mean,"[-1.8674265146255493, 0.1970789134502411, -1.0489401817321777]"
109,1642193011.476056,state_est_cov,"[[0.0001570301246829331, 0.0007951397565193474, 7.351093518082052e-05], [0.0007951397565193474, 0.0068644024431705475, -1.0151335118280258e-05], [7.351092790486291e-05, -1.0151565220439807e-05, 0.013630607165396214]]"
110,1642193011.476056,control_command,"[0.07527854293584824, 0.32913297414779663]"
111,1642193011.476056,V,7.419406890869141
112,1642193011.975615,state_est_mean,"[-1.845155954360962, 0.16496656835079193, -0.9000299572944641]"
113,1642193011.975615,state_est_cov,"[[0.0001378403540002182, 0.0006996043957769871, 9.463936294196174e-05], [0.0006996043957769871, 0.007079473230987787, 0.00012029094068566337], [9.463934839004651e-05, 0.00012029067147523165, 0.013502320274710655]]"
114,1642193011.975615,control_command,"[0.08495528995990753, 0.263751745223999]"
115,1642193011.975615,V,7.235726356506348
116,1642193012.4762604,state_est_mean,"[-1.8323109149932861, 0.1268889605998993, -0.7904132008552551]"
117,1642193012.4762604,state_est_cov,"[[0.00012420587881933898, 0.000599529012106359, 0.00011513800563989207], [0.0005995290703140199, 0.007295686285942793, 0.00029793920111842453], [0.00011513799108797684, 0.00029793885187245905, 0.013400482013821602]]"
118,1642193012.4762604,control_command,"[0.08842026442289352, 0.2335517555475235]"
119,1642193012.4762604,V,7.091707706451416
120,1642193012.976917,state_est_mean,"[-1.781361699104309, 0.10749151557683945, -0.6746591329574585]"
121,1642193012.976917,state_est_cov,"[[0.00010888611723203212, 0.00047264984459616244, 0.00012002024595858529], [0.000472649815492332, 0.007495356723666191, 0.0004671680508181453], [0.00012002026051050052, 0.000467167905298993, 0.013353199698030949]]"
122,1642193012.976917,control_command,"[0.09651576727628708, 0.13083451986312866]"
123,1642193012.976917,V,6.7704877853393555
124,1642193013.475932,state_est_mean,"[-1.7264306545257568, 0.08785108476877213, -0.5648524165153503]"
125,1642193013.475932,state_est_cov,"[[0.00011366864055162296, 0.0004056397301610559, 0.00014185399049893022], [0.0004056397592648864, 0.0077569433487951756, 0.00074057123856619], [0.000141853975947015, 0.0007405710639432073, 0.013351046480238438]]"
126,1642193013.475932,control_command,"[0.09996981173753738, 0.012284633703529835]"
127,1642193013.475932,V,6.436509609222412
128,1642193013.9764144,state_est_mean,"[-1.702684760093689, 0.05381607264280319, -0.5794944763183594]"
129,1642193013.9764144,state_est_cov,"[[0.00012440317368600518, 0.00035026358091272414, 0.00015809951582923532], [0.0003502636100165546, 0.008045085705816746, 0.0010300292633473873], [0.0001580995012773201, 0.0010300291469320655, 0.013392861001193523]]"
130,1642193013.9764144,control_command,"[0.09908819198608398, 0.06736665964126587]"
131,1642193013.9764144,V,6.2175445556640625
132,1642193014.4758518,state_est_mean,"[-1.6313663721084595, 0.04832494258880615, -0.49729448556900024]"
133,1642193014.4758518,state_est_cov,"[[0.00012389810581225902, 0.00022183584223967046, 0.00015172880375757813], [0.00022183584223967046, 0.008273926563560963, 0.0011874925112351775], [0.00015172880375757813, 0.0011874925112351775, 0.013396958820521832]]"
134,1642193014.4758518,control_command,"[0.0993858203291893, -0.0553307868540287]"
135,1642193014.4758518,V,5.822763919830322
136,1642193014.9761786,state_est_mean,"[-1.592585563659668, 0.024892041459679604, -0.49851831793785095]"
137,1642193014.9761786,state_est_cov,"[[0.00014718950842507184, 0.00018562673358246684, 0.000169131817528978], [0.00018562674813438207, 0.008598597720265388, 0.001446122070774436], [0.00016913183208089322, 0.001446122070774436, 0.013470909558236599]]"
138,1642193014.9761786,control_command,"[0.09996494650840759, -0.013237712904810905]"
139,1642193014.9761786,V,5.531445026397705
140,1642193015.4758987,state_est_mean,"[-1.5294256210327148, 0.018162691965699196, -0.4279589056968689]"
141,1642193015.4758987,state_est_cov,"[[0.00016306321776937693, 9.568679524818435e-05, 0.00016919242625590414], [9.568680252414197e-05, 0.00888901762664318, 0.0016138877253979445], [0.00016919244080781937, 0.0016138877253979445, 0.013507322408258915]]"
142,1642193015.4758987,control_command,"[0.09948527812957764, -0.0506652407348156]"
143,1642193015.4758987,V,5.14769983291626
144,1642193015.9758341,state_est_mean,"[-1.4819108247756958, 0.004217992536723614, -0.4028607904911041]"
145,1642193015.9758341,state_est_cov,"[[0.00019292945216875523, 5.342048098100349e-05, 0.00017641695740167052], [5.342047370504588e-05, 0.009235342964529991, 0.0018325371202081442], [0.00017641698650550097, 0.0018325371202081442, 0.013596250675618649]]"
146,1642193015.9758341,control_command,"[0.0998997911810875, -0.022378187626600266]"
147,1642193015.9758341,V,4.819612979888916
148,1642193016.4758215,state_est_mean,"[-1.4413667917251587, -0.030802786350250244, -0.4947830140590668]"
149,1642193016.4758215,state_est_cov,"[[0.00022229219030123204, -6.650961950072087e-06, 0.00017650455993134528], [-6.650970135524403e-06, 0.009578234516084194, 0.002018390689045191], [0.00017650455993134528, 0.002018390456214547, 0.01367778517305851]]"
150,1642193016.4758215,control_command,"[0.05082396790385246, 0.4306078553199768]"
151,1642193016.4758215,V,4.658255577087402
152,1642193016.9758375,state_est_mean,"[-1.4087127447128296, -0.03329812362790108, -0.25528156757354736]"
153,1642193016.9758375,state_est_cov,"[[0.00023923502885736525, -0.0001398214080836624, 0.00010329810902476311], [-0.0001398214080836624, 0.009768884629011154, 0.001906527322717011], [0.00010329810902476311, 0.0019065270898863673, 0.013814186677336693]]"
154,1642193016.9758375,control_command,"[0.07237964123487473, 0.3450068533420563]"
155,1642193016.9758375,V,4.45752477645874
156,1642193017.4758418,state_est_mean,"[-1.3758976459503174, -0.0432509109377861, -0.07356585562229156]"
157,1642193017.4758418,state_est_cov,"[[0.0002690657856874168, -0.00020431101438589394, 6.008076888974756e-05], [-0.00020431101438589394, 0.010073008015751839, 0.002022266387939453], [6.008075797581114e-05, 0.002022266387939453, 0.013978955335915089]]"
158,1642193017.4758418,control_command,"[0.08457433432340622, 0.26679500937461853]"
159,1642193017.4758418,V,4.276920795440674
160,1642193017.975958,state_est_mean,"[-1.3427578210830688, -0.052218034863471985, 0.009678829461336136]"
161,1642193017.975958,state_est_cov,"[[0.00030157266883179545, -0.00026137367240153253, 6.274403858697042e-07], [-0.0002613736432977021, 0.01040597539395094, 0.0022205128334462643], [6.274274255702039e-07, 0.0022205128334462643, 0.014132124371826649]]"
162,1642193017.975958,control_command,"[0.09021394699811935, 0.21572232246398926]"
163,1642193017.975958,V,4.084589004516602
164,1642193018.475851,state_est_mean,"[-1.307010531425476, -0.04783512279391289, 0.13336491584777832]"
165,1642193018.475851,state_est_cov,"[[0.0003353537176735699, -0.00031833184766583145, -5.610311927739531e-05], [-0.00031833184766583145, 0.010735088028013706, 0.002428782405331731], [-5.610312655335292e-05, 0.002428782870993018, 0.014254586771130562]]"
166,1642193018.475851,control_command,"[0.09705770015716553, 0.12039557099342346]"
167,1642193018.475851,V,3.833449363708496
168,1642193018.9758615,state_est_mean,"[-1.2628151178359985, -0.0200553797185421, 0.26621007919311523]"
169,1642193018.9758615,state_est_cov,"[[0.00037044964847154915, -0.0003319768875371665, -0.00011864396947203204], [-0.00033197691664099693, 0.011106894351541996, 0.0026495924685150385], [-0.00011864398402394727, 0.002649592701345682, 0.014343846589326859]]"
170,1642193018.9758615,control_command,"[0.09999311715364456, -0.00586868217214942]"
171,1642193018.9758615,V,3.5015127658843994
172,1642193019.475818,state_est_mean,"[-1.2018132209777832, -0.009768122807145119, 0.28674426674842834]"
173,1642193019.475818,state_est_cov,"[[0.0004072697483934462, -0.00026093426276929677, -0.0001750998490024358], [-0.0002609342918731272, 0.01149067934602499, 0.0028148030396550894], [-0.00017509986355435103, 0.0028148035053163767, 0.014380787499248981]]"
174,1642193019.475818,control_command,"[0.09942010790109634, -0.05376843363046646]"
175,1642193019.475818,V,3.1374142169952393
176,1642193019.9759977,state_est_mean,"[-1.167067289352417, 0.016584288328886032, 0.2947438657283783]"
177,1642193019.9759977,state_est_cov,"[[0.0004538222274277359, -0.0002020451211137697, -0.00021377230586949736], [-0.00020204515021760017, 0.011886260472238064, 0.0029471402522176504], [-0.0002137722767656669, 0.0029471407178789377, 0.014393889345228672]]"
178,1642193019.9759977,control_command,"[0.08977632969617844, -0.22023916244506836]"
179,1642193019.9759977,V,2.9541561603546143
180,1642193020.4763887,state_est_mean,"[-1.126503348350525, 0.002160385251045227, 0.099143385887146]"
181,1642193020.4763887,state_est_cov,"[[0.0004861935449298471, -0.0001233680231962353, -0.00020576822862494737], [-0.0001233680231962353, 0.012187968008220196, 0.0029867899138480425], [-0.00020576822862494737, 0.002986790146678686, 0.014395893551409245]]"
182,1642193020.4763887,control_command,"[0.09762422740459442, -0.10834100097417831]"
183,1642193020.4763887,V,2.7319958209991455
184,1642193020.976273,state_est_mean,"[-1.0874146223068237, 0.00701123895123601, 0.03988251835107803]"
185,1642193020.976273,state_est_cov,"[[0.0005122272996231914, -9.270310692954808e-05, -0.00015154048742260784], [-9.270312148146331e-05, 0.012634075246751308, 0.003140124259516597], [-0.00015154048742260784, 0.0031401244923472404, 0.014433189295232296]]"
186,1642193020.976273,control_command,"[0.09894950687885284, -0.0722835436463356]"
187,1642193020.976273,V,2.5406832695007324
188,1642193021.4762325,state_est_mean,"[-1.0428320169448853, 0.003500990103930235, -0.008937854319810867]"
189,1642193021.4762325,state_est_cov,"[[0.0005259673343971372, -7.034875306999311e-05, -9.914094698615372e-05], [-7.034876034595072e-05, 0.013092282228171825, 0.003288825275376439], [-9.914093971019611e-05, 0.0032888255082070827, 0.014472517184913158]]"
190,1642193021.4762325,control_command,"[0.09971970319747925, -0.03741069510579109]"
191,1642193021.4762325,V,2.3282952308654785
192,1642193021.9761848,state_est_mean,"[-0.9650447368621826, 0.02015705592930317, 0.05153121054172516]"
193,1642193021.9761848,state_est_cov,"[[0.0005238386220298707, -4.9822112487163395e-05, -5.048250750405714e-05], [-4.982210521120578e-05, 0.013566500507295132, 0.003426502225920558], [-5.0482500228099525e-05, 0.003426502924412489, 0.014507687650620937]]"
194,1642193021.9761848,control_command,"[0.09916029125452042, -0.06466004997491837]"
195,1642193021.9761848,V,1.991490125656128
196,1642193022.4767032,state_est_mean,"[-0.9028418064117432, 0.029770780354738235, 0.017330413684248924]"
197,1642193022.4767032,state_est_cov,"[[0.0004858455795329064, -0.0001033776716212742, -5.7775301684159786e-05], [-0.00010337765706935897, 0.013993794098496437, 0.0035329756792634726], [-5.77753089601174e-05, 0.003532976610586047, 0.014532591216266155]]"
198,1642193022.4767032,control_command,"[0.09956031292676926, -0.04683612287044525]"
199,1642193022.4767032,V,1.742232084274292
200,1642193022.9762025,state_est_mean,"[-0.8452749252319336, 0.03191934525966644, -0.0045742131769657135]"
201,1642193022.9762025,state_est_cov,"[[0.00042886289884336293, -0.00018932913371827453, -6.292536272667348e-05], [-0.00018932910461444408, 0.014391654171049595, 0.0036186042707413435], [-6.292537727858871e-05, 0.003618605202063918, 0.014549478888511658]]"
202,1642193022.9762025,control_command,"[0.099771648645401, -0.03377053886651993]"
203,1642193022.9762025,V,1.5264098644256592
204,1642193023.4765248,state_est_mean,"[-0.7907859683036804, 0.015655208379030228, -0.052231065928936005]"
205,1642193023.4765248,state_est_cov,"[[0.0003685376141220331, -0.00026076959329657257, -6.444555037887767e-05], [-0.00026076959329657257, 0.014811497181653976, 0.0036949366331100464], [-6.444557220675051e-05, 0.0036949373316019773, 0.014561866410076618]]"
206,1642193023.4765248,control_command,"[0.09999959170818329, 0.00143262161873281]"
207,1642193023.4765248,V,1.33304762840271
208,1642193023.9761698,state_est_mean,"[-0.7379776835441589, 0.0048231640830636024, -0.07825420051813126]"
209,1642193023.9761698,state_est_cov,"[[0.00031029561068862677, -0.0002010032330872491, -2.998575655510649e-05], [-0.00020100324763916433, 0.015285469591617584, 0.003777220146730542], [-2.9985767469042912e-05, 0.0037772206123918295, 0.014574548229575157]]"
210,1642193023.9761698,control_command,"[0.09989475458860397, 0.022933214902877808]"
211,1642193023.9761698,V,1.1610208749771118
212,1642193024.4759285,state_est_mean,"[-0.6921420097351074, 0.009699453599750996, -0.04030175507068634]"
213,1642193024.4759285,state_est_cov,"[[0.0002604981418699026, -9.449904609937221e-05, 7.195664238679456e-06], [-9.449903154745698e-05, 0.01574612595140934, 0.0038502684328705072], [7.195661964942701e-06, 0.003850269131362438, 0.014583836309611797]]"
214,1642193024.4759285,control_command,"[0.09999919682741165, 0.0020113729406148195]"
215,1642193024.4759285,V,1.0236713886260986
216,1642193024.9758432,state_est_mean,"[-0.6547512412071228, 0.013951599597930908, -0.013186801224946976]"
217,1642193024.9758432,state_est_cov,"[[0.00022383022587746382, -8.894401980796829e-05, 1.2358824506009114e-06], [-8.894401253201067e-05, 0.01623709872364998, 0.003910253755748272], [1.235878130501078e-06, 0.0039102546870708466, 0.014587979763746262]]"
218,1642193024.9758432,control_command,"[0.09996112436056137, -0.013938096351921558]"
219,1642193024.9758432,V,0.9185056686401367
220,1642193025.4758313,state_est_mean,"[-0.6284357905387878, 0.0025779185816645622, -0.04668737202882767]"
221,1642193025.4758313,state_est_cov,"[[0.00019818970758933574, -0.00012657238403335214, -1.674927625572309e-05], [-0.0001265723694814369, 0.01672210730612278, 0.003957461565732956], [-1.6749288988648914e-05, 0.0039574624970555305, 0.014591123908758163]]"
222,1642193025.4758313,control_command,"[0.09997326880693436, 0.011559823527932167]"
223,1642193025.4758313,V,0.8468520045280457
224,1642193025.9759877,state_est_mean,"[-0.5744796395301819, 0.009571989998221397, -0.0036184079945087433]"
225,1642193025.9759877,state_est_cov,"[[0.00018064281903207302, -5.025766586186364e-05, 4.5757496991427615e-06], [-5.025765494792722e-05, 0.017199179157614708, 0.00400423351675272], [4.5757460611639544e-06, 0.0040042344480752945, 0.014596167020499706]]"
226,1642193025.9759877,control_command,"[0.09995590895414352, -0.014845814555883408]"
227,1642193025.9759877,V,0.7118353843688965
228,1642193026.475971,state_est_mean,"[-0.5247343182563782, 0.02233555167913437, 0.039135709404945374]"
229,1642193026.475971,state_est_cov,"[[0.00015540419553872198, -8.797679765848443e-05, -1.3035777556069661e-05], [-8.797679038252681e-05, 0.017688332125544548, 0.004039374645799398], [-1.3035781194048468e-05, 0.004039375577121973, 0.014598398469388485]]"
230,1642193026.475971,control_command,"[0.0995444804430008, -0.047669846564531326]"
231,1642193026.475971,V,0.5991384983062744
232,1642193026.9758105,state_est_mean,"[-0.4736260175704956, 0.03213368356227875, 0.051170170307159424]"
233,1642193026.9758105,state_est_cov,"[[0.00013590953312814236, -0.00021940851002000272, -5.14523453603033e-05], [-0.00021940851002000272, 0.018121572211384773, 0.004058385267853737], [-5.145235627423972e-05, 0.004058385733515024, 0.014599583111703396]]"
234,1642193026.9758105,control_command,"[0.09915217757225037, -0.0649702176451683]"
235,1642193026.9758105,V,0.4942331910133362
236,1642193027.4757802,state_est_mean,"[-0.4155137240886688, 0.024782495573163033, -0.031333401799201965]"
237,1642193027.4757802,state_est_cov,"[[0.00012088383664377034, -0.0003472116368357092, -8.094756776699796e-05], [-0.0003472116368357092, 0.018557272851467133, 0.004075914621353149], [-8.094757504295558e-05, 0.004075915087014437, 0.014601576142013073]]"
238,1642193027.4757802,control_command,"[0.09992314130067825, -0.019600272178649902]"
239,1642193027.4757802,V,0.38568902015686035
240,1642193027.9759083,state_est_mean,"[-0.37608858942985535, 0.027261260896921158, -0.03629252687096596]"
241,1642193027.9759083,state_est_cov,"[[0.00010073946032207459, -0.00028679336537607014, -5.4750409617554396e-05], [-0.0002867933362722397, 0.01904238760471344, 0.004104747902601957], [-5.475041689351201e-05, 0.004104748368263245, 0.014603779651224613]]"
242,1642193027.9759083,control_command,"[0.09989403933286667, -0.02301134541630745]"
243,1642193027.9759083,V,0.3210793435573578
244,1642193028.4758065,state_est_mean,"[-0.32354268431663513, 0.03004422038793564, -0.03177212178707123]"
245,1642193028.4758065,state_est_cov,"[[8.987747423816472e-05, -0.0002899105311371386, -5.178370338398963e-05], [-0.0002899105311371386, 0.01953808404505253, 0.004126099869608879], [-5.178370702196844e-05, 0.004126100335270166, 0.01460190862417221]]"
246,1642193028.4758065,control_command,"[0.09975817799568176, -0.034751806408166885]"
247,1642193028.4758065,V,0.24492785334587097
248,1642193028.976154,state_est_mean,"[-0.2775777578353882, 0.027353236451745033, -0.04874222353100777]"
249,1642193028.976154,state_est_cov,"[[7.866403757361695e-05, -0.00031564285745844245, -5.663089905283414e-05], [-0.0003156428865622729, 0.02002990059554577, 0.004140060860663652], [-5.663090632879175e-05, 0.00414006132632494, 0.014598882757127285]]"
250,1642193028.976154,control_command,"[0.09983202815055847, -0.028968704864382744]"
251,1642193028.976154,V,0.18697896599769592
252,1642193029.476059,state_est_mean,"[-0.22565124928951263, 0.02013452909886837, -0.0781078040599823]"
253,1642193029.476059,state_est_cov,"[[6.862605368951336e-05, -0.00028838106663897634, -4.885240559815429e-05], [-0.0002883810375351459, 0.020525485277175903, 0.0041590044274926186], [-4.8852412874111906e-05, 0.004159005358815193, 0.014597289264202118]]"
254,1642193029.476059,control_command,"[0.09997954219579697, -0.010113955475389957]"
255,1642193029.476059,V,0.13157856464385986
256,1642193029.976068,state_est_mean,"[-0.17141039669513702, 0.02469104342162609, -0.04809773713350296]"
257,1642193029.976068,state_est_cov,"[[5.7733261201065034e-05, -0.00020067437435500324, -2.891267831728328e-05], [-0.00020067437435500324, 0.02100301720201969, 0.004183059558272362], [-2.89126892312197e-05, 0.004183060955256224, 0.01459556445479393]]"
258,1642193029.976068,control_command,"[0.09947916120290756, -0.05096474289894104]"
259,1642193029.976068,V,0.08677752315998077
260,1642193030.4758024,state_est_mean,"[-0.10474937409162521, 0.0009051915258169174, -0.15414679050445557]"
261,1642193030.4758024,state_est_cov,"[[5.0645579904085025e-05, -0.00023846677504479885, -3.861332152155228e-05], [-0.00023846678959671408, 0.021488714963197708, 0.0041810330003499985], [-3.861334334942512e-05, 0.00418103439733386, 0.014589302241802216]]"
262,1642193030.4758024,control_command,"[0.09921430051326752, 0.0625547394156456]"
263,1642193030.4758024,V,0.04614784196019173
264,1642193030.975811,state_est_mean,"[-0.06684346497058868, 0.007610236760228872, -0.11312901973724365]"
265,1642193030.975811,state_est_cov,"[[4.010141856269911e-05, 2.9806602469761856e-05, 1.8136377548216842e-05], [2.9806597012793645e-05, 0.021760422736406326, 0.004214396234601736], [1.8136379367206246e-05, 0.004214397631585598, 0.014590607024729252]]"
266,1642193030.975811,control_command,"[0.09998660534620285, -0.008183512836694717]"
267,1642193030.975811,V,0.032115645706653595
268,1642193031.4843416,state_est_mean,"[-0.008785169571638107, 0.008371928706765175, -0.09959596395492554]"
269,1642193031.4843416,state_est_cov,"[[3.6041939893038943e-05, -1.1534807526913937e-05, 7.335024292842718e-06], [-1.1534817531355657e-05, 0.02223939821124077, 0.004197331145405769], [7.335010650422191e-06, 0.004197331611067057, 0.014571080915629864]]"
270,1642193031.4843416,control_command,"[0.0, -0.0]"
271,1642193031.4843416,V,0.02168862335383892
